LEI,Entity Name,Short Name,Category,Entity Status,Organization Designation
IIROCOOOOOOOOOOOACKF,Acker Finley Inc.,ACKF,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOACUM,Acumen Capital Finance Partners Limited,ACUM,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOAGFS,AGF Securities (Canada) Limited,AGFS,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOALCP,Aligned Capital Partners Inc.,ALCP,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOALLG,All Group Financial Services Inc.,ALLG,Dealer Member,Active,Non-GSD
549300K6BTPH3TXTDU71,AltaCorp Capital Inc.,ALTA,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOALTU,Altus Securities Inc.,ALTU,Dealer Member,Active,Non-GSD
549300W78MBP42KZSP20,Amex Bank of Canada,AMXB,Schedule II Bank,Active,Non-GSD
IIROCOOOOOOOOOOOARGO,Argosy Securities Inc.,ARGO,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOARTN,Arton Investments,ARTN,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOASCM,Assante Capital Management Ltd.,ASCM,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOASTH,Aston Hill Securities Inc.,ASTH,Dealer Member,Inactive,Non-GSD
IIROCOOOOOOOOOOOATBS,ATB Securities Inc.,ATBS,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOAURA,AURAY Capital Canada inc.,AURA,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOB2BB,B2B Bank,B2BB,Schedule I Bank,Active,Non-GSD
IIROCOOOOOOOOOOOB2BS,B2B Bank Securities Services Inc.,B2BS,Dealer Member,Active,Non-GSD
549300OLZFLPH7LVXW89,Bank of China (Canada),BOCC,Schedule II Bank,Active,Non-GSD
NQQ6HPCNCCU6TUTQYE16,Bank of Montreal,BMOB,Schedule I Bank,Active,GSD
549300DG7CU0C6T7Q866,Bank of Tokyo - Mitsubishi UFJ (Canada),BOTC,Schedule II Bank,Inactive,Non-GSD
2138009N9TYRBWXPPS04,Barclays Capital Canada Inc.,BARC,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOBBSS,BBS Securities Inc.,BBSS,Dealer Member,Active,Non-GSD
549300OXKJZP9X58ZW12,Beacon Securities Limited,BEAC,Dealer Member,Active,GSD
IIROCOOOOOOOOOOOBLBU,Bloom Burton & Co. Limited,BLBU,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOBBTB,Bloomberg Tradebook Canada Company,BBTB,Dealer Member,Active,Non-GSD
549300B2SAXGWM7G5218,BMO InvestorLine Inc.,BMOI,Dealer Member,Active,Non-GSD
M3LKFDNSJGJ7TMLH6Z15,BMO Nesbitt Burns Inc.,BNBI,Dealer Member,Active,GSD
549300UEKTXMTFUVUH42,BNP Paribas (Canada),BNPC,Schedule II Bank,Active,Non-GSD
549300SXQO4RWLD24V90,BNP Paribas (Canada) Valeurs mobilières inc.,BNPV,Dealer Member,Active,Non-GSD
549300Z1YVV8SP8ZNG74,BofA Canada Bank,BOAB,Schedule II Bank,Active,Non-GSD
IIROCOOOOOOOOOOOBRNT,Brant Securities Limited,BRNT,Dealer Member,Active,Non-GSD
549300BSFCEB31FMD625,Bridgewater Bank,BRGB,Schedule I Bank,Active,Non-GSD
IIROCOOOOOOOOOOOBTAM,BrokerTec Americas LLC,BTAM,IDBB,Active,Non-GSD
IIROCOOOOOOOOOOOBRKF,Brookfield Financial Securities LP,BRKF,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOBURG,Burgeonvest Bick Securities Limited,BURG,Dealer Member,Inactive,Non-GSD
